Start Date,End Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Tag
1/1/67 00:00,,David Bowie,"<img src=""img/davidbowie.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:0RlVSyFuyxXbZBrXRDLr3q"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,title,
1/1/69 00:00,,Space Oddity,"<img src=""img/spaceoddity.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:1ay9Z4R5ZYI2TY7WiDhNYQ"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/70 00:00,,The Man Who Sold the World ,"<img src=""img/theman.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:4h9rWFWhgCSSrvIEQ0YhYG"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/71 00:00,,Hunky Dory ,"<img src=""img/hunkydory.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:6fQElzBNTiEMGdIeY0hy5l"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/72 00:00,,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,"<img src=""img/therise.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:48D1hRORqJq52qsnUYZX56"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/73 00:00,,Aladdin Sane,"<img src=""img/aladdinsane.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:3HZKOk1knxrUU3y5ZIOdbz"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/73 00:00,,PinUps,"<img src=""img/pinups.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:71nxmbr3tHAVyvdHXc0ltd"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/74 00:00,,Diamond Dogs,"<img src=""img/diamonddogs.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:2DmRgCxxL9Assv82PAWkDJ"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/74 00:00,,David Live,"<img src=""img/davidlive.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:4bLY5Oi9UV0sJZxR8YcRGa"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/75 00:00,,Young Americans,"<img src=""img/youngamericans.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:3VHW81P7SsBqPBGjiCJRXj"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/76 00:00,,Station to Station,"<img src=""img/stationtostation.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:7Ce9NBNo6wHUKbvZS41NOH"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/77 00:00,,Low,"<img src=""img/low.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:0Oqi3Mm316FRX5H9mHjF0b"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/77 00:00,,Heroes,"<img src=""img/heroes.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:3lFioPGhn7x5Y3H3YbPV83"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/78 00:00,,Stage,"<img src=""img/stage.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:3WmFXvoEvGcV793mtaTeUc"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/79 00:00,,Lodger,"<img src=""img/lodger.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:5HFp1l4n85DnXWl0q6M2mq"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/80 00:00,,Scary Monsters,"<img src=""img/scarymonsters.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:53YfKqwV8lphizo06QSxEe"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/83 00:00,,Let's Dance,"<img src=""img/letsdance.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:37KYBt1Lzn4eJ4KoCFZcnR"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/83 00:00,,Ziggy Stardust and the Spiders From Mars,"<img src=""img/ziggy.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:44jkgfcuBri1LuAsdLRlbt"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/84 00:00,,Tonight,"<img src=""img/tonight.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:0x0rVyhppIuVdrHmlB15bn"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/87 00:00,,Never Let Me Down,"<img src=""img/never.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:0Kzazpd1bFvj1s4kKRJ2ox"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/88 00:00,,Peter & The Wolf,"<img src=""img/peter.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:106wKTd4duv3VjKzl4dTxo"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/93 00:00,,Buddha of Suburbia,"<img src=""img/buddha.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:1ffVrnHH8i2POp5M7AzEDi"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/93 00:00,,Black Tie White Noise,"<img src=""img/black.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:1yFItZkb7DBAkQ5RB8OJv9"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/94 00:00,,Live in Santa Monica '72,"<img src=""img/santamonica.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:2RgLZn9d5JPBTC4dinpLio"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/95 00:00,,Outside,"<img src=""img/outside.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:0pUursvGUAgcDiEqYlnZ0q"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/97 00:00,,Earthling,"<img src=""img/earthling.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:4yRoLvuzNxFDdodNNrZAEM"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/99 00:00,,Hours,"<img src=""img/hours.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:79EPGP6VA65fDFs4fgFpel"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/02 00:00,,Heathen,"<img src=""img/heathen.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:6cideQBTEM8b6pQ40OHQ2P"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/03 00:00,,Reality,"<img src=""img/reality.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:04bKxe1Y7WFw4yrDPlmswG"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/10 00:00,,A Reality Tour,"<img src=""img/realitytour.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:0izhrQQ2IKmo3k02mN91zA"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/13 00:00,,The Next Day,"<img src=""img/thenextday.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:16F7X7WOFZhMwQNsMil7lq"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,
1/1/16 00:00,,Blackstar,"<img src=""img/blackstar.jpg"" width=""500"" height=""500""><iframe src=""https://embed.spotify.com/?uri=spotify:album:2w1YJXWMIco6EBf0CovvVN"" width=""500"" height=""500"" frameborder=""0"" allowtransparency=""true""></iframe>",,,,,,